Unnamed: 0,sentence,index,length,time,rating,word_seg,pos,dependency_parse
45,排骨麵,9,3,2年前,5,['排骨麵'],"[(0, 'root root'), (1, '排骨麵 Na')]","[('0 - root root', '1 - 排骨麵 Na', 'root')]"
46,排骨好吃很特別,9,7,2年前,5,"['排骨', '好吃', '很', '特別']","[(0, 'root root'), (1, '排骨 Na'), (2, '好吃 VH'), (3, '很 Dfa'), (4, '特別 VH')]","[('2 - 好吃 VH', '1 - 排骨 Na', 'nsubj'), ('0 - root root', '2 - 好吃 VH', 'root'), ('4 - 特別 VH', '3 - 很 Dfa', 'advmod'), ('2 - 好吃 VH', '4 - 特別 VH', 'dep')]"
47,朋友吃酸辣湯餃,9,7,2年前,5,"['朋友', '吃', '酸辣湯餃']","[(0, 'root root'), (1, '朋友 Na'), (2, '吃 VC'), (3, '酸辣湯餃 Na')]","[('2 - 吃 VC', '1 - 朋友 Na', 'nsubj'), ('0 - root root', '2 - 吃 VC', 'root'), ('2 - 吃 VC', '3 - 酸辣湯餃 Na', 'amod')]"
48,也很棒,9,3,2年前,5,"['也', '很', '棒']","[(0, 'root root'), (1, '也 D'), (2, '很 Dfa'), (3, '棒 VH')]","[('3 - 棒 VH', '1 - 也 D', 'advmod'), ('3 - 棒 VH', '2 - 很 Dfa', 'advmod'), ('0 - root root', '3 - 棒 VH', 'root')]"
49,喜歡酸酸的,9,5,2年前,5,"['喜歡', '酸酸', '的']","[(0, 'root root'), (1, '喜歡 VK'), (2, '酸酸 VH'), (3, '的 DE')]","[('0 - root root', '1 - 喜歡 VK', 'root'), ('1 - 喜歡 VK', '2 - 酸酸 VH', 'dobj'), ('2 - 酸酸 VH', '3 - 的 DE', 'cpm')]"
50,下次來也要吃酸辣湯餃,9,10,2年前,5,"['下', '次', '來', '也', '要', '吃', '酸辣湯餃']","[(0, 'root root'), (1, '下 Nes'), (2, '次 Nf'), (3, '來 VA'), (4, '也 D'), (5, '要 D'), (6, '吃 VC'), (7, '酸辣湯餃 Na')]","[('3 - 來 VA', '1 - 下 Nes', 'dep'), ('1 - 下 Nes', '2 - 次 Nf', 'clf'), ('6 - 吃 VC', '3 - 來 VA', 'dep'), ('6 - 吃 VC', '4 - 也 D', 'advmod'), ('6 - 吃 VC', '5 - 要 D', 'mmod'), ('0 - root root', '6 - 吃 VC', 'root'), ('6 - 吃 VC', '7 - 酸辣湯餃 Na', 'amod')]"
51,中午下大雨,9,5,2年前,5,"['中午', '下', '大雨']","[(0, 'root root'), (1, '中午 Nd'), (2, '下 VC'), (3, '大雨 Na')]","[('2 - 下 VC', '1 - 中午 Nd', 'tmod'), ('0 - root root', '2 - 下 VC', 'root'), ('2 - 下 VC', '3 - 大雨 Na', 'dobj')]"
52,沒有傘,9,3,2年前,5,"['沒有', '傘']","[(0, 'root root'), (1, '沒有 VJ'), (2, '傘 Na')]","[('0 - root root', '1 - 沒有 VJ', 'root'), ('1 - 沒有 VJ', '2 - 傘 Na', 'dobj')]"
53,老闆還借我們傘,9,7,2年前,5,"['老闆', '還', '借', '我們', '傘']","[(0, 'root root'), (1, '老闆 Na'), (2, '還 D'), (3, '借 VD'), (4, '我們 Nh'), (5, '傘 Na')]","[('3 - 借 VD', '1 - 老闆 Na', 'nsubj'), ('3 - 借 VD', '2 - 還 D', 'advmod'), ('0 - root root', '3 - 借 VD', 'root'), ('3 - 借 VD', '4 - 我們 Nh', 'nn'), ('3 - 借 VD', '5 - 傘 Na', 'dobj')]"
54,很親切的店家,9,6,2年前,5,"['很', '親切', '的', '店家']","[(0, 'root root'), (1, '很 Dfa'), (2, '親切 VH'), (3, '的 DE'), (4, '店家 Na')]","[('2 - 親切 VH', '1 - 很 Dfa', 'advmod'), ('4 - 店家 Na', '2 - 親切 VH', 'rcmod'), ('2 - 親切 VH', '3 - 的 DE', 'cpm'), ('0 - root root', '4 - 店家 Na', 'root')]"
55,喜歡牛肉細粉以及牛肉燴飯,10,12,6年前,5,"['喜歡', '牛肉', '細粉', '以及', '牛肉', '燴飯']","[(0, 'root root'), (1, '喜歡 VK'), (2, '牛肉 Na'), (3, '細粉 Na'), (4, '以及 Caa'), (5, '牛肉 Na'), (6, '燴飯 Na')]","[('0 - root root', '1 - 喜歡 VK', 'root'), ('3 - 細粉 Na', '2 - 牛肉 Na', 'nn'), ('6 - 燴飯 Na', '3 - 細粉 Na', 'conj'), ('6 - 燴飯 Na', '4 - 以及 Caa', 'cc'), ('6 - 燴飯 Na', '5 - 牛肉 Na', 'nn'), ('1 - 喜歡 VK', '6 - 燴飯 Na', 'dobj')]"
56,覺得味道挺不錯的,10,8,6年前,5,"['覺得', '味道', '挺', '不錯', '的']","[(0, 'root root'), (1, '覺得 VK'), (2, '味道 Na'), (3, '挺 Dfa'), (4, '不錯 VH'), (5, '的 DE')]","[('0 - root root', '1 - 覺得 VK', 'root'), ('4 - 不錯 VH', '2 - 味道 Na', 'nsubj'), ('4 - 不錯 VH', '3 - 挺 Dfa', 'advmod'), ('1 - 覺得 VK', '4 - 不錯 VH', 'ccomp'), ('4 - 不錯 VH', '5 - 的 DE', 'dep')]"
57,是會讓人想再去的好吃餐廳,10,12,6年前,5,"['是', '會', '讓', '人', '想', '再', '去', '的', '好吃', '餐廳']","[(0, 'root root'), (1, '是 SHI'), (2, '會 D'), (3, '讓 VL'), (4, '人 Na'), (5, '想 VE'), (6, '再 D'), (7, '去 VCL'), (8, '的 DE'), (9, '好吃 VH'), (10, '餐廳 Nc')]","[('0 - root root', '1 - 是 SHI', 'root'), ('3 - 讓 VL', '2 - 會 D', 'mmod'), ('10 - 餐廳 Nc', '3 - 讓 VL', 'rcmod'), ('3 - 讓 VL', '4 - 人 Na', 'dobj'), ('3 - 讓 VL', '5 - 想 VE', 'dep'), ('7 - 去 VCL', '6 - 再 D', 'advmod'), ('5 - 想 VE', '7 - 去 VCL', 'ccomp'), ('3 - 讓 VL', '8 - 的 DE', 'cpm'), ('10 - 餐廳 Nc', '9 - 好吃 VH', 'amod'), ('1 - 是 SHI', '10 - 餐廳 Nc', 'attr')]"
58,有些人覺得分量太小,10,9,6年前,5,"['有', '些', '人', '覺得', '分量', '太', '小']","[(0, 'root root'), (1, '有 V_2'), (2, '些 Nf'), (3, '人 Na'), (4, '覺得 VK'), (5, '分量 Na'), (6, '太 Dfa'), (7, '小 VH')]","[('3 - 人 Na', '1 - 有 V_2', 'det'), ('3 - 人 Na', '2 - 些 Nf', 'det'), ('4 - 覺得 VK', '3 - 人 Na', 'nsubj'), ('0 - root root', '4 - 覺得 VK', 'root'), ('7 - 小 VH', '5 - 分量 Na', 'nsubj'), ('7 - 小 VH', '6 - 太 Dfa', 'advmod'), ('4 - 覺得 VK', '7 - 小 VH', 'ccomp')]"
59,可以跟老闆要求加飯或加麵,10,12,6年前,5,"['可以', '跟', '老闆', '要求', '加', '飯', '或', '加', '麵']","[(0, 'root root'), (1, '可以 D'), (2, '跟 P'), (3, '老闆 Na'), (4, '要求 VF'), (5, '加 VC'), (6, '飯 Na'), (7, '或 Caa'), (8, '加 VC'), (9, '麵 Na')]","[('4 - 要求 VF', '1 - 可以 D', 'mmod'), ('4 - 要求 VF', '2 - 跟 P', 'prep'), ('2 - 跟 P', '3 - 老闆 Na', 'pobj'), ('0 - root root', '4 - 要求 VF', 'root'), ('4 - 要求 VF', '5 - 加 VC', 'ccomp'), ('4 - 要求 VF', '6 - 飯 Na', 'ccomp'), ('5 - 加 VC', '7 - 或 Caa', 'cc'), ('5 - 加 VC', '8 - 加 VC', 'conj'), ('5 - 加 VC', '9 - 麵 Na', 'conj')]"
60,外帶湯麵不給碗是,11,8,1年前,1,"['外帶', '湯麵', '不', '給', '碗', '是']","[(0, 'root root'), (1, '外帶 VC'), (2, '湯麵 Na'), (3, '不 D'), (4, '給 VD'), (5, '碗 Na'), (6, '是 SHI')]","[('4 - 給 VD', '1 - 外帶 VC', 'nsubj'), ('4 - 給 VD', '2 - 湯麵 Na', 'dobj'), ('4 - 給 VD', '3 - 不 D', 'neg'), ('6 - 是 SHI', '4 - 給 VD', 'top'), ('4 - 給 VD', '5 - 碗 Na', 'dobj'), ('0 - root root', '6 - 是 SHI', 'root')]"
61,要別人怎麼吃,11,6,1年前,1,"['要', '別人', '怎麼', '吃']","[(0, 'root root'), (1, '要 VE'), (2, '別人 Nh'), (3, '怎麼 D'), (4, '吃 VC')]","[('0 - root root', '1 - 要 VE', 'root'), ('1 - 要 VE', '2 - 別人 Nh', 'dobj'), ('4 - 吃 VC', '3 - 怎麼 D', 'advmod'), ('1 - 要 VE', '4 - 吃 VC', 'dep')]"
62,一碗麵一百多,11,6,1年前,1,"['一', '碗', '麵', '一百多']","[(0, 'root root'), (1, '一 Neu'), (2, '碗 Nf'), (3, '麵 Na'), (4, '一百多 Neu')]","[('2 - 碗 Nf', '1 - 一 Neu', 'nummod'), ('3 - 麵 Na', '2 - 碗 Nf', 'clf'), ('4 - 一百多 Neu', '3 - 麵 Na', 'nsubj'), ('0 - root root', '4 - 一百多 Neu', 'root')]"
63,這點成本也要省,11,7,1年前,1,"['這', '點', '成本', '也', '要', '省']","[(0, 'root root'), (1, '這 Nep'), (2, '點 Nf'), (3, '成本 Na'), (4, '也 D'), (5, '要 D'), (6, '省 VH')]","[('3 - 成本 Na', '1 - 這 Nep', 'det'), ('1 - 這 Nep', '2 - 點 Nf', 'clf'), ('6 - 省 VH', '3 - 成本 Na', 'nsubj'), ('6 - 省 VH', '4 - 也 D', 'advmod'), ('6 - 省 VH', '5 - 要 D', 'mmod'), ('0 - root root', '6 - 省 VH', 'root')]"
64,排骨麵跟炸醬麵都還不錯,12,11,4年前,3,"['排骨麵', '跟', '炸醬麵', '都', '還', '不錯']","[(0, 'root root'), (1, '排骨麵 Na'), (2, '跟 Caa'), (3, '炸醬麵 Na'), (4, '都 D'), (5, '還 D'), (6, '不錯 VH')]","[('3 - 炸醬麵 Na', '1 - 排骨麵 Na', 'conj'), ('3 - 炸醬麵 Na', '2 - 跟 Caa', 'cc'), ('6 - 不錯 VH', '3 - 炸醬麵 Na', 'nsubj'), ('6 - 不錯 VH', '4 - 都 D', 'advmod'), ('6 - 不錯 VH', '5 - 還 D', 'advmod'), ('0 - root root', '6 - 不錯 VH', 'root')]"
65,水餃也不錯,12,5,4年前,3,"['水餃', '也', '不錯']","[(0, 'root root'), (1, '水餃 Na'), (2, '也 D'), (3, '不錯 VH')]","[('3 - 不錯 VH', '1 - 水餃 Na', 'nsubj'), ('3 - 不錯 VH', '2 - 也 D', 'advmod'), ('0 - root root', '3 - 不錯 VH', 'root')]"
66,湯麵湯底稍淡偏油,12,8,4年前,3,"['湯麵', '湯底', '稍', '淡', '偏', '油']","[(0, 'root root'), (1, '湯麵 Na'), (2, '湯底 Na'), (3, '稍 D'), (4, '淡 VH'), (5, '偏 VJ'), (6, '油 Na')]","[('2 - 湯底 Na', '1 - 湯麵 Na', 'nn'), ('4 - 淡 VH', '2 - 湯底 Na', 'nsubj'), ('4 - 淡 VH', '3 - 稍 D', 'advmod'), ('0 - root root', '4 - 淡 VH', 'root'), ('6 - 油 Na', '5 - 偏 VJ', 'comod'), ('4 - 淡 VH', '6 - 油 Na', 'dep')]"
67,小菜普通,12,4,4年前,3,"['小菜', '普通']","[(0, 'root root'), (1, '小菜 Na'), (2, '普通 VH')]","[('2 - 普通 VH', '1 - 小菜 Na', 'amod'), ('0 - root root', '2 - 普通 VH', 'root')]"
68,其他餐點沒嚐過,12,7,4年前,3,"['其他', '餐點', '沒', '嚐', '過']","[(0, 'root root'), (1, '其他 Neqa'), (2, '餐點 Na'), (3, '沒 D'), (4, '嚐 VC'), (5, '過 Di')]","[('2 - 餐點 Na', '1 - 其他 Neqa', 'det'), ('4 - 嚐 VC', '2 - 餐點 Na', 'top'), ('4 - 嚐 VC', '3 - 沒 D', 'neg'), ('0 - root root', '4 - 嚐 VC', 'root'), ('4 - 嚐 VC', '5 - 過 Di', 'asp')]"
69,暫不予置評,12,5,4年前,3,"['暫不予置', '評']","[(0, 'root root'), (1, '暫不予置 D'), (2, '評 VC')]","[('2 - 評 VC', '1 - 暫不予置 D', 'advmod'), ('0 - root root', '2 - 評 VC', 'dobj')]"
70,家常,13,2,1年前,5,['家常'],"[(0, 'root root'), (1, '家常 A')]","[('0 - root root', '1 - 家常 A', 'root')]"
71,方便,13,2,1年前,5,['方便'],"[(0, 'root root'), (1, '方便 VH')]","[('0 - root root', '1 - 方便 VH', 'root')]"
72,水餃和排骨麵超級好吃,13,10,1年前,5,"['水餃', '和', '排骨麵', '超級', '好吃']","[(0, 'root root'), (1, '水餃 Na'), (2, '和 Caa'), (3, '排骨麵 Na'), (4, '超級 Dfa'), (5, '好吃 VH')]","[('3 - 排骨麵 Na', '1 - 水餃 Na', 'conj'), ('3 - 排骨麵 Na', '2 - 和 Caa', 'cc'), ('5 - 好吃 VH', '3 - 排骨麵 Na', 'nsubj'), ('5 - 好吃 VH', '4 - 超級 Dfa', 'advmod'), ('0 - root root', '5 - 好吃 VH', 'root')]"
73,懷念以前禮拜六和家人一起吃的日子,13,16,1年前,5,"['懷念', '以前', '禮拜六', '和', '家人', '一起', '吃', '的', '日子']","[(0, 'root root'), (1, '懷念 VJ'), (2, '以前 Nd'), (3, '禮拜六 Nd'), (4, '和 P'), (5, '家人 Na'), (6, '一起 D'), (7, '吃 VC'), (8, '的 DE'), (9, '日子 Na')]","[('0 - root root', '1 - 懷念 VJ', 'root'), ('7 - 吃 VC', '2 - 以前 Nd', 'nn'), ('7 - 吃 VC', '3 - 禮拜六 Nd', 'tmod'), ('7 - 吃 VC', '4 - 和 P', 'prep'), ('4 - 和 P', '5 - 家人 Na', 'pobj'), ('7 - 吃 VC', '6 - 一起 D', 'advmod'), ('9 - 日子 Na', '7 - 吃 VC', 'rcmod'), ('7 - 吃 VC', '8 - 的 DE', 'cpm'), ('1 - 懷念 VJ', '9 - 日子 Na', 'dobj')]"
74,麵條Q彈好吃,14,6,1年前,5,"['麵條', 'Q', '彈', '好吃']","[(0, 'root root'), (1, '麵條 Na'), (2, 'Q FW'), (3, '彈 VC'), (4, '好吃 VH')]","[('4 - 好吃 VH', '1 - 麵條 Na', 'nsubj'), ('4 - 好吃 VH', '2 - Q FW', 'punct'), ('4 - 好吃 VH', '3 - 彈 VC', 'root'), ('0 - root root', '4 - 好吃 VH', 'root')]"
75,湯餃好吃,14,4,1年前,5,"['湯餃', '好吃']","[(0, 'root root'), (1, '湯餃 Na'), (2, '好吃 VH')]","[('2 - 好吃 VH', '1 - 湯餃 Na', 'nsubj'), ('0 - root root', '2 - 好吃 VH', 'root')]"
76,小菜也好吃,14,5,1年前,5,"['小菜', '也', '好吃']","[(0, 'root root'), (1, '小菜 Na'), (2, '也 D'), (3, '好吃 VH')]","[('3 - 好吃 VH', '1 - 小菜 Na', 'amod'), ('3 - 好吃 VH', '2 - 也 D', 'advmod'), ('0 - root root', '3 - 好吃 VH', 'root')]"
77,生意很好,14,4,1年前,5,"['生意', '很', '好']","[(0, 'root root'), (1, '生意 Na'), (2, '很 Dfa'), (3, '好 VH')]","[('3 - 好 VH', '1 - 生意 Na', 'nsubj'), ('3 - 好 VH', '2 - 很 Dfa', 'advmod'), ('0 - root root', '3 - 好 VH', 'root')]"
78,值得再訪的店,14,6,1年前,5,"['值得', '再', '訪', '的', '店']","[(0, 'root root'), (1, '值得 VH'), (2, '再 D'), (3, '訪 VC'), (4, '的 DE'), (5, '店 Nc')]","[('5 - 店 Nc', '1 - 值得 VH', 'rcmod'), ('1 - 值得 VH', '2 - 再 D', 'advmod'), ('1 - 值得 VH', '3 - 訪 VC', 'ccomp'), ('1 - 值得 VH', '4 - 的 DE', 'cpm'), ('0 - root root', '5 - 店 Nc', 'root')]"
79,以前的巷弄美食之一,15,9,2年前,4,"['以前', '的', '巷弄', '美食', '之', '一']","[(0, 'root root'), (1, '以前 Nd'), (2, '的 DE'), (3, '巷弄 Na'), (4, '美食 Na'), (5, '之 DE'), (6, '一 Neu')]","[('5 - 之 DE', '1 - 以前 Nd', 'assmod'), ('1 - 以前 Nd', '2 - 的 DE', 'assm'), ('5 - 之 DE', '3 - 巷弄 Na', 'nn'), ('5 - 之 DE', '4 - 美食 Na', 'nn'), ('6 - 一 Neu', '5 - 之 DE', 'root'), ('0 - root root', '6 - 一 Neu', 'root')]"
80,尤其喜歡炸排骨,15,7,2年前,4,"['尤其', '喜歡', '炸', '排骨']","[(0, 'root root'), (1, '尤其 D'), (2, '喜歡 VK'), (3, '炸 VC'), (4, '排骨 Na')]","[('2 - 喜歡 VK', '1 - 尤其 D', 'advmod'), ('0 - root root', '2 - 喜歡 VK', 'root'), ('2 - 喜歡 VK', '3 - 炸 VC', 'ccomp'), ('3 - 炸 VC', '4 - 排骨 Na', 'dobj')]"
81,只是現在南港選擇性多,15,10,2年前,4,"['只是', '現在', '南港', '選擇性', '多']","[(0, 'root root'), (1, '只是 Cbb'), (2, '現在 Nd'), (3, '南港 Nc'), (4, '選擇性 Na'), (5, '多 VH')]","[('5 - 多 VH', '1 - 只是 Cbb', 'advmod'), ('5 - 多 VH', '2 - 現在 Nd', 'tmod'), ('5 - 多 VH', '3 - 南港 Nc', 'nn'), ('5 - 多 VH', '4 - 選擇性 Na', 'nsubj'), ('0 - root root', '5 - 多 VH', 'root')]"
82,松園相對的比較沒有特色,15,11,2年前,4,"['松園', '相對的', '比較', '沒有', '特色']","[(0, 'root root'), (1, '松園 Nc'), (2, '相對的 Dk'), (3, '比較 Dfa'), (4, '沒有 VJ'), (5, '特色 Na')]","[('4 - 沒有 VJ', '1 - 松園 Nc', 'nsubj'), ('4 - 沒有 VJ', '2 - 相對的 Dk', 'dep'), ('4 - 沒有 VJ', '3 - 比較 Dfa', 'nsubj'), ('0 - root root', '4 - 沒有 VJ', 'root'), ('4 - 沒有 VJ', '5 - 特色 Na', 'dobj')]"
83,肉少湯酸麵糊,16,6,3年前,2,"['肉', '少', '湯酸', '麵糊']","[(0, 'root root'), (1, '肉 Na'), (2, '少 VH'), (3, '湯酸 Na'), (4, '麵糊 Na')]","[('2 - 少 VH', '1 - 肉 Na', 'nsubj'), ('0 - root root', '2 - 少 VH', 'root'), ('2 - 少 VH', '3 - 湯酸 Na', 'nsubj'), ('2 - 少 VH', '4 - 麵糊 Na', 'root')]"
84,價位跟餐食水準對不上,16,10,3年前,2,"['價位', '跟', '餐食', '水準', '對不上']","[(0, 'root root'), (1, '價位 Na'), (2, '跟 P'), (3, '餐食 Na'), (4, '水準 Na'), (5, '對不上 VJ')]","[('4 - 水準 Na', '1 - 價位 Na', 'nsubj'), ('4 - 水準 Na', '2 - 跟 P', 'prep'), ('4 - 水準 Na', '3 - 餐食 Na', 'nn'), ('5 - 對不上 VJ', '4 - 水準 Na', 'pobj'), ('0 - root root', '5 - 對不上 VJ', 'root')]"
85,令人遺憾的一餐,16,7,3年前,2,"['令', '人', '遺憾', '的', '一', '餐']","[(0, 'root root'), (1, '令 VL'), (2, '人 Na'), (3, '遺憾 VK'), (4, '的 DE'), (5, '一 Neu'), (6, '餐 Nf')]","[('6 - 餐 Nf', '1 - 令 VL', 'rcmod'), ('1 - 令 VL', '2 - 人 Na', 'dobj'), ('1 - 令 VL', '3 - 遺憾 VK', 'dep'), ('1 - 令 VL', '4 - 的 DE', 'cpm'), ('6 - 餐 Nf', '5 - 一 Neu', 'nummod'), ('0 - root root', '6 - 餐 Nf', 'root')]"
86,東西好吃便宜,17,6,3年前,4,"['東西', '好吃', '便宜']","[(0, 'root root'), (1, '東西 Na'), (2, '好吃 VH'), (3, '便宜 VH')]","[('2 - 好吃 VH', '1 - 東西 Na', 'nsubj'), ('0 - root root', '2 - 好吃 VH', 'advmod'), ('2 - 好吃 VH', '3 - 便宜 VH', 'dep')]"
87,1992開店到現在,17,9,3年前,4,"['1992', '開店', '到', '現在']","[(0, 'root root'), (1, '1992 Nd'), (2, '開店 VA'), (3, '到 P'), (4, '現在 Nd')]","[('2 - 開店 VA', '1 - 1992 Nd', 'dep'), ('0 - root root', '2 - 開店 VA', 'root'), ('2 - 開店 VA', '3 - 到 P', 'prep'), ('3 - 到 P', '4 - 現在 Nd', 'pobj')]"
88,是中研院員工的吃飯好選項,17,12,3年前,4,"['是', '中研院', '員工', '的', '吃飯', '好', '選項']","[(0, 'root root'), (1, '是 SHI'), (2, '中研院 Nc'), (3, '員工 Na'), (4, '的 DE'), (5, '吃飯 VA'), (6, '好 VH'), (7, '選項 Na')]","[('0 - root root', '1 - 是 SHI', 'root'), ('3 - 員工 Na', '2 - 中研院 Nc', 'nn'), ('7 - 選項 Na', '3 - 員工 Na', 'assmod'), ('3 - 員工 Na', '4 - 的 DE', 'assm'), ('7 - 選項 Na', '5 - 吃飯 VA', 'nn'), ('7 - 選項 Na', '6 - 好 VH', 'amod'), ('1 - 是 SHI', '7 - 選項 Na', 'attr')]"
89,最喜歡榨菜肉絲麵好吃湯頭優,17,13,3年前,4,"['最', '喜歡', '榨', '菜', '肉絲麵', '好吃', '湯頭', '優']","[(0, 'root root'), (1, '最 Dfa'), (2, '喜歡 VK'), (3, '榨 VC'), (4, '菜 Na'), (5, '肉絲麵 Na'), (6, '好吃 VH'), (7, '湯頭 Na'), (8, '優 VH')]","[('2 - 喜歡 VK', '1 - 最 Dfa', 'advmod'), ('0 - root root', '2 - 喜歡 VK', 'root'), ('5 - 肉絲麵 Na', '3 - 榨 VC', 'nn'), ('5 - 肉絲麵 Na', '4 - 菜 Na', 'nn'), ('6 - 好吃 VH', '5 - 肉絲麵 Na', 'dobj'), ('7 - 湯頭 Na', '6 - 好吃 VH', 'ccomp'), ('8 - 優 VH', '7 - 湯頭 Na', 'nsubj'), ('2 - 喜歡 VK', '8 - 優 VH', 'dep')]"
90,價格漲到太誇張,18,7,2年前,2,"['價格', '漲到', '太', '誇張']","[(0, 'root root'), (1, '價格 Na'), (2, '漲到 VH'), (3, '太 Dfa'), (4, '誇張 VHC')]","[('4 - 誇張 VHC', '1 - 價格 Na', 'nsubj'), ('4 - 誇張 VHC', '2 - 漲到 VH', 'root'), ('4 - 誇張 VHC', '3 - 太 Dfa', 'advmod'), ('0 - root root', '4 - 誇張 VHC', 'pccomp')]"
91,麵也不是太好的麵,18,8,2年前,2,"['麵', '也', '不', '是', '太', '好', '的', '麵']","[(0, 'root root'), (1, '麵 Na'), (2, '也 D'), (3, '不 D'), (4, '是 SHI'), (5, '太 Dfa'), (6, '好 VH'), (7, '的 DE'), (8, '麵 Na')]","[('4 - 是 SHI', '1 - 麵 Na', 'nsubj'), ('4 - 是 SHI', '2 - 也 D', 'advmod'), ('4 - 是 SHI', '3 - 不 D', 'neg'), ('0 - root root', '4 - 是 SHI', 'root'), ('6 - 好 VH', '5 - 太 Dfa', 'advmod'), ('8 - 麵 Na', '6 - 好 VH', 'rcmod'), ('6 - 好 VH', '7 - 的 DE', 'cpm'), ('4 - 是 SHI', '8 - 麵 Na', 'attr')]"
92,口味也還好,18,5,2年前,2,"['口味', '也', '還好']","[(0, 'root root'), (1, '口味 Na'), (2, '也 D'), (3, '還好 D')]","[('3 - 還好 D', '1 - 口味 Na', 'nsubj'), ('3 - 還好 D', '2 - 也 D', 'advmod'), ('0 - root root', '3 - 還好 D', 'advmod')]"
93,幾乎沒青菜,18,5,2年前,2,"['幾乎', '沒', '青菜']","[(0, 'root root'), (1, '幾乎 Da'), (2, '沒 VJ'), (3, '青菜 Na')]","[('2 - 沒 VJ', '1 - 幾乎 Da', 'advmod'), ('0 - root root', '2 - 沒 VJ', 'root'), ('2 - 沒 VJ', '3 - 青菜 Na', 'dobj')]"
94,現在幾乎都不去了,18,8,2年前,2,"['現在', '幾乎', '都', '不', '去', '了']","[(0, 'root root'), (1, '現在 Nd'), (2, '幾乎 Da'), (3, '都 D'), (4, '不 D'), (5, '去 VCL'), (6, '了 Di')]","[('5 - 去 VCL', '1 - 現在 Nd', 'tmod'), ('5 - 去 VCL', '2 - 幾乎 Da', 'advmod'), ('5 - 去 VCL', '3 - 都 D', 'advmod'), ('5 - 去 VCL', '4 - 不 D', 'neg'), ('0 - root root', '5 - 去 VCL', 'root'), ('5 - 去 VCL', '6 - 了 Di', 'asp')]"
95,從小吃到大的牛肉麵,19,9,3年前,4,"['從小', '吃到', '大', '的', '牛肉麵']","[(0, 'root root'), (1, '從小 D'), (2, '吃到 VC'), (3, '大 VH'), (4, '的 DE'), (5, '牛肉麵 Na')]","[('2 - 吃到 VC', '1 - 從小 D', 'prep'), ('5 - 牛肉麵 Na', '2 - 吃到 VC', 'rcmod'), ('1 - 從小 D', '3 - 大 VH', 'pobj'), ('2 - 吃到 VC', '4 - 的 DE', 'cpm'), ('0 - root root', '5 - 牛肉麵 Na', 'root')]"
96,味道蠻喜歡的,19,6,3年前,4,"['味道', '蠻', '喜歡', '的']","[(0, 'root root'), (1, '味道 Na'), (2, '蠻 Dfa'), (3, '喜歡 VK'), (4, '的 DE')]","[('3 - 喜歡 VK', '1 - 味道 Na', 'nsubj'), ('3 - 喜歡 VK', '2 - 蠻 Dfa', 'advmod'), ('0 - root root', '3 - 喜歡 VK', 'root'), ('3 - 喜歡 VK', '4 - 的 DE', 'dep')]"
97,份量算少大食量的人可能吃不飽,19,14,3年前,4,"['份量', '算', '少', '大', '食量', '的', '人', '可能', '吃', '不', '飽']","[(0, 'root root'), (1, '份量 Na'), (2, '算 VG'), (3, '少 D'), (4, '大 VH'), (5, '食量 Na'), (6, '的 DE'), (7, '人 Na'), (8, '可能 D'), (9, '吃 VC'), (10, '不 D'), (11, '飽 VH')]","[('2 - 算 VG', '1 - 份量 Na', 'nsubj'), ('9 - 吃 VC', '2 - 算 VG', 'rcmod'), ('2 - 算 VG', '3 - 少 D', 'dobj'), ('5 - 食量 Na', '4 - 大 VH', 'amod'), ('7 - 人 Na', '5 - 食量 Na', 'dobj'), ('5 - 食量 Na', '6 - 的 DE', 'cpm'), ('9 - 吃 VC', '7 - 人 Na', 'nsubj'), ('9 - 吃 VC', '8 - 可能 D', 'mmod'), ('0 - root root', '9 - 吃 VC', 'root'), ('9 - 吃 VC', '10 - 不 D', 'dep'), ('9 - 吃 VC', '11 - 飽 VH', 'dep')]"
98,算不錯,20,3,1年前,3,"['算', '不錯']","[(0, 'root root'), (1, '算 VG'), (2, '不錯 VH')]","[('0 - root root', '1 - 算 VG', 'root'), ('1 - 算 VG', '2 - 不錯 VH', 'ccomp')]"
99,但是不知是辣椒醬太鹹,20,10,1年前,3,"['但是', '不', '知', '是', '辣椒醬', '太', '鹹']","[(0, 'root root'), (1, '但是 Cbb'), (2, '不 D'), (3, '知 VK'), (4, '是 SHI'), (5, '辣椒醬 Na'), (6, '太 Dfa'), (7, '鹹 VH')]","[('3 - 知 VK', '1 - 但是 Cbb', 'advmod'), ('3 - 知 VK', '2 - 不 D', 'neg'), ('0 - root root', '3 - 知 VK', 'root'), ('3 - 知 VK', '4 - 是 SHI', 'ccomp'), ('7 - 鹹 VH', '5 - 辣椒醬 Na', 'nsubj'), ('7 - 鹹 VH', '6 - 太 Dfa', 'advmod'), ('4 - 是 SHI', '7 - 鹹 VH', 'ccomp')]"
100,還是湯頭太鹹,20,6,1年前,3,"['還是', '湯頭', '太', '鹹']","[(0, 'root root'), (1, '還是 D'), (2, '湯頭 Na'), (3, '太 Dfa'), (4, '鹹 VH')]","[('4 - 鹹 VH', '1 - 還是 D', 'cc'), ('4 - 鹹 VH', '2 - 湯頭 Na', 'nsubj'), ('4 - 鹹 VH', '3 - 太 Dfa', 'advmod'), ('0 - root root', '4 - 鹹 VH', 'ccomp')]"
