Unnamed: 0,sentence,index,length,time,rating,word_seg,pos,dependency_parse
10,牛肉麵130元麵條是麵廠中筋麵粉機器製麵,4,20,1年前,3,"['牛肉麵', '130', '元', '麵條', '是', '麵廠', '中筋', '麵粉', '機器', '製麵']","[(0, 'root root'), (1, '牛肉麵 Na'), (2, '130 Neu'), (3, '元 Nf'), (4, '麵條 Na'), (5, '是 SHI'), (6, '麵廠 Nc'), (7, '中筋 Na'), (8, '麵粉 Na'), (9, '機器 Na'), (10, '製麵 VA')]","[('3 - 元 Nf', '1 - 牛肉麵 Na', 'nn'), ('3 - 元 Nf', '2 - 130 Neu', 'nummod'), ('4 - 麵條 Na', '3 - 元 Nf', 'clf'), ('5 - 是 SHI', '4 - 麵條 Na', 'top'), ('0 - root root', '5 - 是 SHI', 'root'), ('9 - 機器 Na', '6 - 麵廠 Nc', 'nn'), ('8 - 麵粉 Na', '7 - 中筋 Na', 'nn'), ('9 - 機器 Na', '8 - 麵粉 Na', 'nn'), ('10 - 製麵 VA', '9 - 機器 Na', 'nsubj'), ('5 - 是 SHI', '10 - 製麵 VA', 'ccomp')]"
11,牛肉湯頭並非傳統牛骨熬煮骨髓及油香,4,17,1年前,3,"['牛肉', '湯頭', '並非', '傳統', '牛骨', '熬煮', '骨髓', '及', '油香']","[(0, 'root root'), (1, '牛肉 Na'), (2, '湯頭 Na'), (3, '並非 D'), (4, '傳統 VH'), (5, '牛骨 Na'), (6, '熬煮 VC'), (7, '骨髓 Na'), (8, '及 Caa'), (9, '油香 Na')]","[('2 - 湯頭 Na', '1 - 牛肉 Na', 'nn'), ('3 - 並非 D', '2 - 湯頭 Na', 'nsubj'), ('9 - 油香 Na', '3 - 並非 D', 'advmod'), ('5 - 牛骨 Na', '4 - 傳統 VH', 'amod'), ('6 - 熬煮 VC', '5 - 牛骨 Na', 'nsubj'), ('9 - 油香 Na', '6 - 熬煮 VC', 'vmod'), ('9 - 油香 Na', '7 - 骨髓 Na', 'dobj'), ('9 - 油香 Na', '8 - 及 Caa', 'cc'), ('0 - root root', '9 - 油香 Na', 'dep')]"
12,帶筋塊狀牛肉乏善可陳,4,10,1年前,3,"['帶', '筋塊狀', '牛肉', '乏善可陳']","[(0, 'root root'), (1, '帶 VC'), (2, '筋塊狀 Na'), (3, '牛肉 Na'), (4, '乏善可陳 VH')]","[('3 - 牛肉 Na', '1 - 帶 VC', 'rcmod'), ('1 - 帶 VC', '2 - 筋塊狀 Na', 'dobj'), ('4 - 乏善可陳 VH', '3 - 牛肉 Na', 'nsubj'), ('0 - root root', '4 - 乏善可陳 VH', 'root')]"
13,不見青菜,4,4,1年前,3,"['不', '見', '青菜']","[(0, 'root root'), (1, '不 D'), (2, '見 VE'), (3, '青菜 Na')]","[('2 - 見 VE', '1 - 不 D', 'neg'), ('0 - root root', '2 - 見 VE', 'root'), ('2 - 見 VE', '3 - 青菜 Na', 'dobj')]"
14,酸菜辣油也無自製特別,4,10,1年前,3,"['酸菜', '辣油', '也', '無', '自製', '特別']","[(0, 'root root'), (1, '酸菜 Na'), (2, '辣油 Na'), (3, '也 D'), (4, '無 VJ'), (5, '自製 VC'), (6, '特別 VH')]","[('2 - 辣油 Na', '1 - 酸菜 Na', 'nn'), ('4 - 無 VJ', '2 - 辣油 Na', 'nsubj'), ('4 - 無 VJ', '3 - 也 D', 'advmod'), ('0 - root root', '4 - 無 VJ', 'root'), ('6 - 特別 VH', '5 - 自製 VC', 'root'), ('4 - 無 VJ', '6 - 特別 VH', 'dobj')]"
15,滷味豆干滷蛋時間不長很淺味,4,13,1年前,3,"['滷味', '豆乾', '滷蛋', '時間', '不', '長', '很', '淺味']","[(0, 'root root'), (1, '滷味 Na'), (2, '豆乾 Na'), (3, '滷蛋 Na'), (4, '時間 Na'), (5, '不 D'), (6, '長 VH'), (7, '很 Dfa'), (8, '淺味 VH')]","[('2 - 豆乾 Na', '1 - 滷味 Na', 'amod'), ('6 - 長 VH', '2 - 豆乾 Na', 'nn'), ('4 - 時間 Na', '3 - 滷蛋 Na', 'nsubj'), ('6 - 長 VH', '4 - 時間 Na', 'nsubj'), ('6 - 長 VH', '5 - 不 D', 'neg'), ('0 - root root', '6 - 長 VH', 'root'), ('8 - 淺味 VH', '7 - 很 Dfa', 'advmod'), ('6 - 長 VH', '8 - 淺味 VH', 'conj')]"
16,燴飯不錯,5,4,2年前,5,"['燴飯', '不錯']","[(0, 'root root'), (1, '燴飯 Na'), (2, '不錯 VH')]","[('2 - 不錯 VH', '1 - 燴飯 Na', 'nsubj'), ('0 - root root', '2 - 不錯 VH', 'root')]"
17,燴汁下飯,5,4,2年前,5,"['燴汁', '下飯']","[(0, 'root root'), (1, '燴汁 Na'), (2, '下飯 VH')]","[('2 - 下飯 VH', '1 - 燴汁 Na', 'nsubj'), ('0 - root root', '2 - 下飯 VH', 'root')]"
18,份量也滿大的,5,6,2年前,5,"['份量', '也', '滿', '大', '的']","[(0, 'root root'), (1, '份量 Na'), (2, '也 D'), (3, '滿 Dfa'), (4, '大 VH'), (5, '的 T')]","[('4 - 大 VH', '1 - 份量 Na', 'nsubj'), ('4 - 大 VH', '2 - 也 D', 'advmod'), ('4 - 大 VH', '3 - 滿 Dfa', 'advmod'), ('0 - root root', '4 - 大 VH', 'root'), ('4 - 大 VH', '5 - 的 T', 'dep')]"
19,酸辣湯也是料好實在,5,9,2年前,5,"['酸辣湯', '也', '是', '料好', '實在']","[(0, 'root root'), (1, '酸辣湯 Na'), (2, '也 D'), (3, '是 SHI'), (4, '料好 VH'), (5, '實在 VH')]","[('3 - 是 SHI', '1 - 酸辣湯 Na', 'amod'), ('3 - 是 SHI', '2 - 也 D', 'advmod'), ('0 - root root', '3 - 是 SHI', 'root'), ('5 - 實在 VH', '4 - 料好 VH', 'nsubj'), ('3 - 是 SHI', '5 - 實在 VH', 'comod')]"
20,每一口都是滿滿的料,5,9,2年前,5,"['每', '一', '口', '都', '是', '滿滿', '的', '料']","[(0, 'root root'), (1, '每 Nes'), (2, '一 Neu'), (3, '口 Nf'), (4, '都 D'), (5, '是 SHI'), (6, '滿滿 VH'), (7, '的 DE'), (8, '料 Na')]","[('5 - 是 SHI', '1 - 每 Nes', 'dep'), ('3 - 口 Nf', '2 - 一 Neu', 'nummod'), ('1 - 每 Nes', '3 - 口 Nf', 'dep'), ('5 - 是 SHI', '4 - 都 D', 'advmod'), ('0 - root root', '5 - 是 SHI', 'root'), ('8 - 料 Na', '6 - 滿滿 VH', 'rcmod'), ('6 - 滿滿 VH', '7 - 的 DE', 'cpm'), ('5 - 是 SHI', '8 - 料 Na', 'attr')]"
21,環境乾淨,5,4,2年前,5,"['環境', '乾淨']","[(0, 'root root'), (1, '環境 Na'), (2, '乾淨 VH')]","[('2 - 乾淨 VH', '1 - 環境 Na', 'nsubj'), ('0 - root root', '2 - 乾淨 VH', 'root')]"
22,老闆娘也親切熱情,5,8,2年前,5,"['老闆娘', '也', '親切', '熱情']","[(0, 'root root'), (1, '老闆娘 Na'), (2, '也 D'), (3, '親切 VH'), (4, '熱情 VH')]","[('3 - 親切 VH', '1 - 老闆娘 Na', 'nsubj'), ('3 - 親切 VH', '2 - 也 D', 'advmod'), ('0 - root root', '3 - 親切 VH', 'advmod'), ('3 - 親切 VH', '4 - 熱情 VH', 'root')]"
23,是間可以舒服吃飯的巷弄小店,5,13,2年前,5,"['是', '間', '可以', '舒服', '吃飯', '的', '巷弄', '小店']","[(0, 'root root'), (1, '是 SHI'), (2, '間 Ncd'), (3, '可以 D'), (4, '舒服 VH'), (5, '吃飯 VA'), (6, '的 DE'), (7, '巷弄 Na'), (8, '小店 Na')]","[('0 - root root', '1 - 是 SHI', 'root'), ('1 - 是 SHI', '2 - 間 Ncd', 'clf'), ('5 - 吃飯 VA', '3 - 可以 D', 'mmod'), ('5 - 吃飯 VA', '4 - 舒服 VH', 'advmod'), ('7 - 巷弄 Na', '5 - 吃飯 VA', 'rcmod'), ('5 - 吃飯 VA', '6 - 的 DE', 'cpm'), ('1 - 是 SHI', '7 - 巷弄 Na', 'nn'), ('1 - 是 SHI', '8 - 小店 Na', 'amod')]"
24,下次還會再來,5,6,2年前,5,"['下', '次', '還', '會', '再', '來']","[(0, 'root root'), (1, '下 Nes'), (2, '次 Nf'), (3, '還 D'), (4, '會 D'), (5, '再 D'), (6, '來 D')]","[('6 - 來 D', '1 - 下 Nes', 'dep'), ('1 - 下 Nes', '2 - 次 Nf', 'clf'), ('6 - 來 D', '3 - 還 D', 'advmod'), ('6 - 來 D', '4 - 會 D', 'mmod'), ('6 - 來 D', '5 - 再 D', 'advmod'), ('0 - root root', '6 - 來 D', 'root')]"
25,份量偏少,6,4,4個月前,3,"['份量', '偏', '少']","[(0, 'root root'), (1, '份量 Na'), (2, '偏 D'), (3, '少 VH')]","[('3 - 少 VH', '1 - 份量 Na', 'nsubj'), ('3 - 少 VH', '2 - 偏 D', 'advmod'), ('0 - root root', '3 - 少 VH', 'root')]"
26,清淡口味,6,4,4個月前,3,"['清淡', '口味']","[(0, 'root root'), (1, '清淡 VH'), (2, '口味 Na')]","[('2 - 口味 Na', '1 - 清淡 VH', 'amod'), ('0 - root root', '2 - 口味 Na', 'root')]"
27,還不錯,6,3,4個月前,3,"['還', '不錯']","[(0, 'root root'), (1, '還 D'), (2, '不錯 VH')]","[('2 - 不錯 VH', '1 - 還 D', 'advmod'), ('0 - root root', '2 - 不錯 VH', 'root')]"
28,個人覺得口味普通,7,8,3年前,3,"['個人', '覺得', '口味', '普通']","[(0, 'root root'), (1, '個人 Nh'), (2, '覺得 VK'), (3, '口味 Na'), (4, '普通 VH')]","[('2 - 覺得 VK', '1 - 個人 Nh', 'nsubj'), ('0 - root root', '2 - 覺得 VK', 'root'), ('4 - 普通 VH', '3 - 口味 Na', 'nsubj'), ('2 - 覺得 VK', '4 - 普通 VH', 'ccomp')]"
29,且CP值不夠,7,6,3年前,3,"['且', 'CP值', '不', '夠']","[(0, 'root root'), (1, '且 Cbb'), (2, 'CP值 Na'), (3, '不 D'), (4, '夠 VH')]","[('4 - 夠 VH', '1 - 且 Cbb', 'advmod'), ('4 - 夠 VH', '2 - CP值 Na', 'punct'), ('4 - 夠 VH', '3 - 不 D', 'dep'), ('0 - root root', '4 - 夠 VH', 'dep')]"
30,這絕對是我這輩子吃過最難吃的牛肉麵,8,17,2年前,1,"['這', '絕對', '是', '我', '這', '輩子', '吃', '過', '最', '難吃', '的', '牛肉麵']","[(0, 'root root'), (1, '這 Nep'), (2, '絕對 D'), (3, '是 SHI'), (4, '我 Nh'), (5, '這 Nep'), (6, '輩子 Na'), (7, '吃 VC'), (8, '過 Di'), (9, '最 Dfa'), (10, '難吃 VH'), (11, '的 DE'), (12, '牛肉麵 Na')]","[('3 - 是 SHI', '1 - 這 Nep', 'nsubj'), ('3 - 是 SHI', '2 - 絕對 D', 'advmod'), ('0 - root root', '3 - 是 SHI', 'root'), ('7 - 吃 VC', '4 - 我 Nh', 'nsubj'), ('6 - 輩子 Na', '5 - 這 Nep', 'det'), ('7 - 吃 VC', '6 - 輩子 Na', 'dep'), ('12 - 牛肉麵 Na', '7 - 吃 VC', 'rcmod'), ('7 - 吃 VC', '8 - 過 Di', 'asp'), ('10 - 難吃 VH', '9 - 最 Dfa', 'advmod'), ('12 - 牛肉麵 Na', '10 - 難吃 VH', 'advmod'), ('10 - 難吃 VH', '11 - 的 DE', 'cpm'), ('3 - 是 SHI', '12 - 牛肉麵 Na', 'attr')]"
31,難吃到我願意刻意登入來負評,8,13,2年前,1,"['難吃', '到', '我', '願意', '刻意', '登入', '來', '負評']","[(0, 'root root'), (1, '難吃 VH'), (2, '到 P'), (3, '我 Nh'), (4, '願意 VK'), (5, '刻意 D'), (6, '登入 VCL'), (7, '來 D'), (8, '負評 Na')]","[('2 - 到 P', '1 - 難吃 VH', 'advmod'), ('0 - root root', '2 - 到 P', 'root'), ('6 - 登入 VCL', '3 - 我 Nh', 'xsubj'), ('2 - 到 P', '4 - 願意 VK', 'pccomp'), ('6 - 登入 VCL', '5 - 刻意 D', 'advmod'), ('4 - 願意 VK', '6 - 登入 VCL', 'ccomp'), ('8 - 負評 Na', '7 - 來 D', 'prtmod'), ('6 - 登入 VCL', '8 - 負評 Na', 'dep')]"
32,你們的雖然偏清燉,8,8,2年前,1,"['你們', '的', '雖然', '偏清', '燉']","[(0, 'root root'), (1, '你們 Nh'), (2, '的 DE'), (3, '雖然 Cbb'), (4, '偏清 VH'), (5, '燉 VC')]","[('5 - 燉 VC', '1 - 你們 Nh', 'dep'), ('1 - 你們 Nh', '2 - 的 DE', 'assm'), ('5 - 燉 VC', '3 - 雖然 Cbb', 'advmod'), ('5 - 燉 VC', '4 - 偏清 VH', 'advmod'), ('0 - root root', '5 - 燉 VC', 'root')]"
33,但也太不用心了吧,8,8,2年前,1,"['但', '也', '太', '不', '用心', '了', '吧']","[(0, 'root root'), (1, '但 Cbb'), (2, '也 D'), (3, '太 Dfa'), (4, '不 D'), (5, '用心 VH'), (6, '了 T'), (7, '吧 T')]","[('5 - 用心 VH', '1 - 但 Cbb', 'advmod'), ('5 - 用心 VH', '2 - 也 D', 'advmod'), ('5 - 用心 VH', '3 - 太 Dfa', 'advmod'), ('5 - 用心 VH', '4 - 不 D', 'neg'), ('0 - root root', '5 - 用心 VH', 'root'), ('5 - 用心 VH', '6 - 了 T', 'asp'), ('5 - 用心 VH', '7 - 吧 T', 'dep')]"
34,既然都叫松園*牛肉麵*,8,11,2年前,1,"['既然', '都', '叫', '松園', '*', '牛肉麵', '*']","[(0, 'root root'), (1, '既然 Cbb'), (2, '都 D'), (3, '叫 VG'), (4, '松園 Nc'), (5, '* FW'), (6, '牛肉麵 Na'), (7, '* FW')]","[('3 - 叫 VG', '1 - 既然 Cbb', 'advmod'), ('3 - 叫 VG', '2 - 都 D', 'advmod'), ('0 - root root', '3 - 叫 VG', 'root'), ('3 - 叫 VG', '4 - 松園 Nc', 'dep'), ('6 - 牛肉麵 Na', '5 - * FW', 'punct'), ('3 - 叫 VG', '6 - 牛肉麵 Na', 'dobj'), ('6 - 牛肉麵 Na', '7 - * FW', 'punct')]"
35,好好燉個牛肉湯很難嗎,8,10,2年前,1,"['好好', '燉', '個', '牛肉湯', '很', '難', '嗎']","[(0, 'root root'), (1, '好好 VH'), (2, '燉 VC'), (3, '個 Di'), (4, '牛肉湯 Na'), (5, '很 Dfa'), (6, '難 VH'), (7, '嗎 T')]","[('2 - 燉 VC', '1 - 好好 VH', 'advmod'), ('6 - 難 VH', '2 - 燉 VC', 'dep'), ('2 - 燉 VC', '3 - 個 Di', 'clf'), ('6 - 難 VH', '4 - 牛肉湯 Na', 'nn'), ('6 - 難 VH', '5 - 很 Dfa', 'advmod'), ('0 - root root', '6 - 難 VH', 'root'), ('6 - 難 VH', '7 - 嗎 T', 'dep')]"
36,整碗湯滿滿的味精味,8,9,2年前,1,"['整', '碗', '湯', '滿滿', '的', '味精味']","[(0, 'root root'), (1, '整 Neqa'), (2, '碗 Nf'), (3, '湯 Na'), (4, '滿滿 VH'), (5, '的 DE'), (6, '味精味 Na')]","[('3 - 湯 Na', '1 - 整 Neqa', 'det'), ('1 - 整 Neqa', '2 - 碗 Nf', 'nn'), ('6 - 味精味 Na', '3 - 湯 Na', 'nsubj'), ('6 - 味精味 Na', '4 - 滿滿 VH', 'rcmod'), ('4 - 滿滿 VH', '5 - 的 DE', 'cpm'), ('0 - root root', '6 - 味精味 Na', 'nn')]"
37,不會適度搭配點甘草,8,9,2年前,1,"['不會', '適度', '搭配', '點', '甘草']","[(0, 'root root'), (1, '不會 D'), (2, '適度 D'), (3, '搭配 VC'), (4, '點 Nf'), (5, '甘草 Na')]","[('3 - 搭配 VC', '1 - 不會 D', 'neg'), ('3 - 搭配 VC', '2 - 適度 D', 'advmod'), ('0 - root root', '3 - 搭配 VC', 'root'), ('5 - 甘草 Na', '4 - 點 Nf', 'clf'), ('3 - 搭配 VC', '5 - 甘草 Na', 'dobj')]"
38,荳蔻,8,2,2年前,1,['荳蔻'],"[(0, 'root root'), (1, '荳蔻 Na')]","[('0 - root root', '1 - 荳蔻 Na', 'root')]"
39,花椒,8,2,2年前,1,['花椒'],"[(0, 'root root'), (1, '花椒 Na')]","[('0 - root root', '1 - 花椒 Na', 'root')]"
40,桂枝,8,2,2年前,1,['桂枝'],"[(0, 'root root'), (1, '桂枝 Na')]","[('0 - root root', '1 - 桂枝 Na', 'root')]"
41,當歸尾之類的東西提香,8,10,2年前,1,"['當', '歸尾', '之類', '的', '東西', '提香']","[(0, 'root root'), (1, '當 P'), (2, '歸尾 Na'), (3, '之類 Cab'), (4, '的 DE'), (5, '東西 Na'), (6, '提香 Nb')]","[('0 - root root', '1 - 當 P', 'prep'), ('3 - 之類 Cab', '2 - 歸尾 Na', 'nn'), ('5 - 東西 Na', '3 - 之類 Cab', 'assmod'), ('3 - 之類 Cab', '4 - 的 DE', 'assm'), ('6 - 提香 Nb', '5 - 東西 Na', 'nsubj'), ('1 - 當 P', '6 - 提香 Nb', 'pccomp')]"
42,這間店的老闆,8,6,2年前,1,"['這', '間', '店', '的', '老闆']","[(0, 'root root'), (1, '這 Nep'), (2, '間 Nf'), (3, '店 Nc'), (4, '的 DE'), (5, '老闆 Na')]","[('3 - 店 Nc', '1 - 這 Nep', 'det'), ('1 - 這 Nep', '2 - 間 Nf', 'clf'), ('5 - 老闆 Na', '3 - 店 Nc', 'assmod'), ('3 - 店 Nc', '4 - 的 DE', 'assm'), ('0 - root root', '5 - 老闆 Na', 'root')]"
43,要嘛舌頭真的有問題,8,9,2年前,1,"['要', '嘛', '舌頭', '真的', '有', '問題']","[(0, 'root root'), (1, '要 D'), (2, '嘛 T'), (3, '舌頭 Na'), (4, '真的 D'), (5, '有 V_2'), (6, '問題 Na')]","[('5 - 有 V_2', '1 - 要 D', 'advmod'), ('5 - 有 V_2', '2 - 嘛 T', 'advmod'), ('5 - 有 V_2', '3 - 舌頭 Na', 'nsubj'), ('5 - 有 V_2', '4 - 真的 D', 'advmod'), ('0 - root root', '5 - 有 V_2', 'root'), ('5 - 有 V_2', '6 - 問題 Na', 'dobj')]"
44,不然就是黔驢技窮,8,8,2年前,1,"['不然', '就', '是', '黔驢', '技窮']","[(0, 'root root'), (1, '不然 Cbb'), (2, '就 D'), (3, '是 SHI'), (4, '黔驢 Na'), (5, '技窮 VH')]","[('3 - 是 SHI', '1 - 不然 Cbb', 'advmod'), ('3 - 是 SHI', '2 - 就 D', 'advmod'), ('0 - root root', '3 - 是 SHI', 'root'), ('3 - 是 SHI', '4 - 黔驢 Na', 'nsubj'), ('3 - 是 SHI', '5 - 技窮 VH', 'ccomp')]"
