,food_list,source
216,洋酒,eHowNet-food
217,淡酒,eHowNet-food
218,濁酒,eHowNet-food
219,私酒,eHowNet-food
220,紅酒,eHowNet-food
221,紅露酒,eHowNet-food
222,紹興酒,eHowNet-food
223,花酒,eHowNet-food
224,蒸餾酒,eHowNet-food
225,蘋果酒,eHowNet-food
226,虎骨酒,eHowNet-food
227,蛋酒,eHowNet-food
228,酒類,eHowNet-food
229,酤,eHowNet-food
230,醅,eHowNet-food
231,雄黃酒,eHowNet-food
232,雞尾酒,eHowNet-food
233,香酒,eHowNet-food
234,鬯,eHowNet-food
235,麥酒,eHowNet-food
236,壺中物,eHowNet-food
237,女兒紅,eHowNet-food
238,搾渣,eHowNet-food
239,杜康,eHowNet-food
240,杜松子酒,eHowNet-food
241,杯中物,eHowNet-food
242,梨酒,eHowNet-food
243,水酒,eHowNet-food
244,琴酒,eHowNet-food
245,白蘭地,eHowNet-food
246,福壽酒,eHowNet-food
247,竹葉青,eHowNet-food
248,酒,eHowNet-food
249,醇醨,eHowNet-food
250,醞,eHowNet-food
251,釀,eHowNet-food
252,雪利酒,eHowNet-food
253,黃湯,eHowNet-food
254,黃酒,eHowNet-food
255,副食,eHowNet-food
256,副食品,eHowNet-food
257,囚糧,eHowNet-food
258,牢飯,eHowNet-food
259,北貨,eHowNet-food
260,山貨,eHowNet-food
261,時羞,eHowNet-food
262,時鮮,eHowNet-food
263,鮮味,eHowNet-food
264,鮮食,eHowNet-food
265,主食,eHowNet-food
266,孟婆湯,eHowNet-food
267,杯湯,eHowNet-food
268,汆湯,eHowNet-food
269,清湯,eHowNet-food
270,濃湯,eHowNet-food
271,熱湯,eHowNet-food
272,牛肉湯,eHowNet-food
273,米湯,eHowNet-food
274,羹,eHowNet-food
275,薑湯,eHowNet-food
276,酒湯,eHowNet-food
277,酸辣湯,eHowNet-food
278,雞湯,eHowNet-food
279,湯,eHowNet-food
280,湯水,eHowNet-food
281,羅宋湯,eHowNet-food
282,羹湯,eHowNet-food
283,乾肉片,eHowNet-food
284,涮羊肉,eHowNet-food
285,熟肉,eHowNet-food
286,燻肉,eHowNet-food
287,生肉,eHowNet-food
288,瘦肉,eHowNet-food
289,白肉,eHowNet-food
290,禽肉,eHowNet-food
291,羊肉,eHowNet-food
292,肉丁,eHowNet-food
293,肉末,eHowNet-food
294,肉片,eHowNet-food
295,肉絲,eHowNet-food
296,臠,eHowNet-food
297,蝦仁,eHowNet-food
298,蟹肉,eHowNet-food
299,蠣黃,eHowNet-food
300,鮮肉,eHowNet-food
301,鹹肉,eHowNet-food
302,鹿肉,eHowNet-food
303,鼠肉,eHowNet-food
304,肉品,eHowNet-food
305,肉類,eHowNet-food
306,串燒,eHowNet-food
307,乾絲,eHowNet-food
308,什錦菜,eHowNet-food
309,冷盤,eHowNet-food
310,凍雞,eHowNet-food
311,叉燒,eHowNet-food
312,回鍋肉,eHowNet-food
313,大雜燴,eHowNet-food
314,客家菜,eHowNet-food
315,山產,eHowNet-food
316,川菜,eHowNet-food
317,年菜,eHowNet-food
318,招牌菜,eHowNet-food
319,沙拉,eHowNet-food
320,油豆腐,eHowNet-food
321,法國菜,eHowNet-food
322,湘菜,eHowNet-food
323,滷肉,eHowNet-food
324,滷蛋,eHowNet-food
325,滿漢全席,eHowNet-food
326,炸雞,eHowNet-food
327,烤雞,eHowNet-food
328,煎蛋,eHowNet-food
329,燉肉,eHowNet-food
330,燉雞,eHowNet-food
331,燒酒雞,eHowNet-food
332,燻魚,eHowNet-food
333,獅子頭,eHowNet-food
334,珍肴異饌,eHowNet-food
335,皮蛋,eHowNet-food
336,菜蔬,eHowNet-food
337,葷辛,eHowNet-food
338,醃肉,eHowNet-food
339,野味,eHowNet-food
340,金腿,eHowNet-food
341,鐵板燒,eHowNet-food
342,雜碎,eHowNet-food
343,饈,eHowNet-food
344,魚翅,eHowNet-food
345,魚香茄子,eHowNet-food
346,鴨肫肝,eHowNet-food
347,麻婆豆腐,eHowNet-food
348,滷菜,eHowNet-food
349,盤菜,eHowNet-food
350,砂鍋菜,eHowNet-food
351,肴,eHowNet-food
352,菜,eHowNet-food
353,菜肴,eHowNet-food
354,菜餚,eHowNet-food
355,餚,eHowNet-food
356,中飯,eHowNet-food
357,午飯,eHowNet-food
358,午餐,eHowNet-food
359,早茶,eHowNet-food
360,早飯,eHowNet-food
361,早餐,eHowNet-food
362,早點,eHowNet-food
364,夜飯,eHowNet-food
365,晚飯,eHowNet-food
366,晚餐,eHowNet-food
367,纖維蛋白,eHowNet-food
368,肌蛋白,eHowNet-food
369,膠原,eHowNet-food
370,膠原蛋白,eHowNet-food
371,蛋白原,eHowNet-food
372,蛋白質,eHowNet-food
373,血紅蛋白,eHowNet-food
374,燙麵,eHowNet-food
375,麵團,eHowNet-food
376,麵糰,eHowNet-food
377,味噌,eHowNet-food
378,味霖,eHowNet-food
379,太白粉,eHowNet-food
380,肉燥,eHowNet-food
381,肉醬,eHowNet-food
382,蓮蓉,eHowNet-food
383,豆瓣,eHowNet-food
384,豆豉,eHowNet-food
385,醢,eHowNet-food
386,鹹鹵,eHowNet-food
387,佐料,eHowNet-food
388,作料,eHowNet-food
389,調味品,eHowNet-food
390,調味料,eHowNet-food
391,配料,eHowNet-food
392,乾草,eHowNet-food
393,乾草堆,eHowNet-food
394,牧草,eHowNet-food
395,秣,eHowNet-food
396,芻秣,eHowNet-food
397,芻糧,eHowNet-food
398,苜蓿,eHowNet-food
399,草料,eHowNet-food
400,優酪乳,eHowNet-food
401,發酵乳,eHowNet-food
402,酸奶,eHowNet-food
403,酸酪,eHowNet-food
404,克寧,eHowNet-food
405,脫脂奶粉,eHowNet-food
406,奶粉,eHowNet-food
407,椰乳,eHowNet-food
408,椰子汁,eHowNet-food
409,碳酸水,eHowNet-food
410,蘇打水,eHowNet-food
411,清茶,eHowNet-food
412,綠茶,eHowNet-food
413,龍井,eHowNet-food
414,龍井茶,eHowNet-food
415,佳釀,eHowNet-food
416,嘉釀,eHowNet-food
417,醁,eHowNet-food
418,啤,eHowNet-food
419,啤酒,eHowNet-food
420,生啤酒,eHowNet-food
421,杆子,eHowNet-food
422,玉液瓊漿,eHowNet-food
423,玉漿,eHowNet-food
424,瓊漿玉液,eHowNet-food
425,美酒,eHowNet-food
426,毒酒,eHowNet-food
427,鴆,eHowNet-food
428,鴆酒,eHowNet-food
429,伏特加,eHowNet-food
430,威士忌,eHowNet-food
431,威士忌酒,eHowNet-food
432,濃酒,eHowNet-food
433,烈酒,eHowNet-food
434,猛酒,eHowNet-food
435,高粱酒,eHowNet-food
436,狀元紅,eHowNet-food
437,陳紹,eHowNet-food
438,瓊漿,eHowNet-food
439,花彫,eHowNet-food
440,花彫酒,eHowNet-food
441,花雕,eHowNet-food
442,茅臺酒,eHowNet-food
443,利口酒,eHowNet-food
444,甜酒,eHowNet-food
445,醴,eHowNet-food
446,燒酒,eHowNet-food
447,白乾,eHowNet-food
448,白干兒,eHowNet-food
449,白酒,eHowNet-food
450,米酒,eHowNet-food
451,米酒頭,eHowNet-food
452,老酒,eHowNet-food
453,陳酒,eHowNet-food
454,陳高,eHowNet-food
455,艾酒,eHowNet-food
456,苦酒,eHowNet-food
457,薄酒,eHowNet-food
458,醨,eHowNet-food
459,五加皮,eHowNet-food
460,藥酒,eHowNet-food
461,清酒,eHowNet-food
462,醇酒,eHowNet-food
463,醇醪,eHowNet-food
464,醇釀,eHowNet-food
465,醪,eHowNet-food
466,葡萄酒,eHowNet-food
467,香檳,eHowNet-food
468,香檳酒,eHowNet-food
469,粑,eHowNet-food
470,糌粑,eHowNet-food
471,剩飯,eHowNet-food
472,咖哩飯,eHowNet-food
473,大鍋飯,eHowNet-food
474,油飯,eHowNet-food
475,湯飯,eHowNet-food
476,焦飯,eHowNet-food
477,米粉肉,eHowNet-food
478,鍋巴,eHowNet-food
479,飯糰,eHowNet-food
480,乾飯,eHowNet-food
481,八寶飯,eHowNet-food
482,熟飯,eHowNet-food
483,米食,eHowNet-food
484,米飯,eHowNet-food
485,粥飯,eHowNet-food
486,飯,eHowNet-food
487,飯食,eHowNet-food
488,鍋貼,eHowNet-food
489,鍋貼兒,eHowNet-food
490,扁食,eHowNet-food
491,抄手,eHowNet-food
492,水餃,eHowNet-food
493,湯餃,eHowNet-food
494,燒賣,eHowNet-food
495,蒸餃,eHowNet-food
496,餃,eHowNet-food
497,餃子,eHowNet-food
498,餑餑,eHowNet-food
499,餛飩,eHowNet-food
500,麵餃,eHowNet-food
501,乾粉,eHowNet-food
502,壽麵,eHowNet-food
503,炒麵,eHowNet-food
504,烏龍麵,eHowNet-food
505,牛肉麵,eHowNet-food
506,白麵,eHowNet-food
507,米粉,eHowNet-food
508,素麵,eHowNet-food
509,蚵仔麵線,eHowNet-food
510,豬腳麵線,eHowNet-food
511,切麵,eHowNet-food
512,拉麵,eHowNet-food
513,掛麵,eHowNet-food
514,擔仔麵,eHowNet-food
515,擔擔麵,eHowNet-food
516,油麵,eHowNet-food
517,涼麵,eHowNet-food
518,湯麵,eHowNet-food
519,炸醬麵,eHowNet-food
520,粉條,eHowNet-food
521,陽春麵,eHowNet-food
522,餑,eHowNet-food
523,餛飩麵,eHowNet-food
524,麵,eHowNet-food
525,麵條,eHowNet-food
526,麵糊,eHowNet-food
527,麵食,eHowNet-food
528,羹食,eHowNet-food
529,肉湯,eHowNet-food
530,肉羹,eHowNet-food
531,雞汁,eHowNet-food
532,雞精,eHowNet-food
533,湯頭,eHowNet-food
534,高湯,eHowNet-food
535,狗肉,eHowNet-food
536,香肉,eHowNet-food
537,肉乾,eHowNet-food
538,肉脯,eHowNet-food
539,碎肉,eHowNet-food
540,肉蓉,eHowNet-food
541,膾,eHowNet-food
542,五花肉,eHowNet-food
543,肥肉,eHowNet-food
544,臕,eHowNet-food
545,丸子,eHowNet-food
546,肉丸子,eHowNet-food
547,貢丸,eHowNet-food
548,牛柳,eHowNet-food
549,牛筋,eHowNet-food
550,牛腱,eHowNet-food
551,牛肉,eHowNet-food
552,牛腩,eHowNet-food
553,培根,eHowNet-food
554,排骨,eHowNet-food
555,豬排,eHowNet-food
556,豬肉,eHowNet-food
557,鹹豬肉,eHowNet-food
558,雞丁,eHowNet-food
559,雞塊,eHowNet-food
560,雞排,eHowNet-food
561,雞絲,eHowNet-food
562,雞肉,eHowNet-food
563,鹽酥雞,eHowNet-food
564,三杯雞,eHowNet-food
565,土窯雞,eHowNet-food
566,中國菜,eHowNet-food
567,中國飯,eHowNet-food
568,主菜,eHowNet-food
569,大菜,eHowNet-food
570,佳肴,eHowNet-food
571,佳餚,eHowNet-food
572,珍羞,eHowNet-food
573,珍膳,eHowNet-food
574,剩菜,eHowNet-food
575,殘羹,eHowNet-food
576,殘肴,eHowNet-food
577,餿水,eHowNet-food
578,大魚大肉,eHowNet-food
579,雞鴨魚肉,eHowNet-food
580,鳳髓龍肝,eHowNet-food
581,龍肝鳳髓,eHowNet-food
582,便菜,eHowNet-food
583,家常菜,eHowNet-food
584,小菜,eHowNet-food
585,涼拌菜,eHowNet-food
586,涼菜,eHowNet-food
587,嘉香肉,eHowNet-food
588,家鄉肉,eHowNet-food
589,火腿,eHowNet-food
590,木樨,eHowNet-food
591,木犀,eHowNet-food
592,松花,eHowNet-food
593,炒蛋,eHowNet-food
594,燒臘,eHowNet-food
595,臘味,eHowNet-food
596,臘肉,eHowNet-food
597,廣東菜,eHowNet-food
