name,type
牛肉麵,麵
牛肉細粉,麵
牛肉湯麵,麵
排骨麵,麵
餛飩麵,麵
酸辣麵,麵
麻醬麵,麵
雙醬麵,麵
炸醬乾麵,麵
榨菜肉絲麵,麵
牛肉湯,湯
蛋花湯,湯
餛飩湯,湯
貢丸湯,湯
酸辣湯,湯
貢丸蛋花湯,湯
榨菜肉絲湯,湯
牛肉燴飯,飯
豬肉燴飯,飯
高麗菜水餃,水餃
韭菜水餃,水餃
清湯餃,水餃
酸辣湯餃,水餃
牛肉湯餃,水餃
牛肚,小菜
豆干,小菜
滷蛋,小菜
炸排骨,小菜
皮蛋豆腐,小菜
涼拌海帶,小菜
涼拌乾絲,小菜
